id,isb_number,song_title,song_code,album,year,lyricist,composer,singer,musicians,picturized_on,category,transcribed_by,created_at,lyrics_text,film_imdb_id,film_wikidata_id,lyricist_imdb_ids,composer_imdb_ids,singer_imdb_ids,picturized_on_imdb_ids
75,2829,duniyaa hamaare pyaar kii yuu.N hii javaa.N rahe,,Lahore,1949,Rajinder Krishan,Shyamsunder,"Lata,Karan Divan",,"Karan Divan,Nargis",,Srinivas Ganti,2024-12-06T23:25:26.470358+00:00,"%
 
(ka: duniyaa hamaare pyaar kii yuu.N hii javaa.N rahe
 la: mai.n bhii vahii.N rahuu.N meraa saajan jahaa.N rahe)\-2
 
la: do din kii zi.ndagii hai ise yuu.N guzaar de \-2
    uja.Dii huii ye pyaar kii raahe.n sa.Nvaar de \-2
    ham tum yahaa.N rahe naa rahe is kaa Gam nahii.n
    lekin hamaare pyaar kaa baakii nishaa.N rahe
    mai.n bhii vahii.n rahuu.N meraa saajan jahaa.N rahe
ka: duniyaa hamaare pyaar kii yuu.Nhii javaa.N rahe
la: mai.n bhii vahii rahuu.N meraa saajan jahaa.N rahe
 
ka: duniyaa me.n chho.D jaaye.nge ham vo nishaaniyaa.N \-2
    ban jaaye.ngii jo pyaar kii miiThii kahaaniyaa.N \-2
do: duniyaa hamaare baad hame.n yuu.N karegii yaad
    do pyaar karane vaale hai.n par ek jaa.N rahe
    mai.n bhii vahii.n rahuu.N meraa saajan jahaa.N rahe
    duniyaa hamaare pyaar kii yuu.Nhii javaa.N  rahe
    mai.n bhii vahii.n rahuu.N meraa saajan jahaa.N rahe
    duniyaa hamaare pyaar kii

%",,,,,,
76,12868,jab jab tumako dekhaa dil mastaanaa ho gayaa,,Meeraa Kaa Mohan,1992,Indivar,Arun Paudwal,"Anuradha Paudwal, Udit Narayan",,"Avinash Wadhwan, Ashwini Bhave, Deepak Saraf, Pran, A K Hangal",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
ku \:	jab jab tumako dekhaa dil mastaanaa ho gayaa
	terii har adaa pe dil diivaanaa ho gayaa
	tuu le le mujhe baa.Nho.n me.n pa.Daa rahuu.N terii raaho.n me.n lailaa

a \:	jab jab tujhako dekhuu.n mai.n aa.Nkhe.n jhuk jaatii hai.n
	terii baate.n sun sun kar saa.Nse.n ruk jaatii hai.n
	ki aise mujhe dekho naa jaa_o jii mujhe chhe.Do naa chhailaa

ku \:	ho teraa pyaar maa.nge dil baar baar maa.nge dil aake mil
	jitanaa diidaar hu_aa utanaa beqaraar hu_aa haay dil
a \:	ho kho_ii kho_ii rahatii huu.N sakhiyo.n se kahatii huu.N haal\-e\-dil
	jhuume.n taqadiir merii chuumuu.n tasviir terii jaa_uu.N khil

ku \:	dil hii meraa bas me.n nahii.n hai aramaa.n aise jaage
a \:	himmat jo nibhaane kii ho ba.Dhanaa tabhii aage
ku \:	ho.nTho.n pe suruur li_e chehare par nuur li_e aa gayaa
a \:	zaraa muskaraate hii zindagii me.n aate hii tuu chhaa gayaa

ku \:	ek to hasiin hai tuu usape zahiin hai tuu dilarubaa
	tuu jo milii aisaa lagaa mujhe hasiino.n kaa Kudaa mil gayaa
	are hai na ko_ii hogaa jag me.n pyaaraa tujhase ba.Dhake
a \:	le jaa merii Dolii le jaa jaldii mere ghar se
%",,,,,,
77,10791,tumase kitanaa pyaar hai dil me.n utar kar dekh lo,,Company,2002,Tabish Romani,Sandeep Chowtha,Altaaf Rajaa,,"Ajay Devgan, Vivek Oberoy, Manisha, Antara Mali, Mohanlal",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
tumase kitanaa pyaar hai dil me.n utar kar dekh lo
naa yakii.n aa_e to phir dil badal kar dekh lo
tumase kitanaa \threedots

hamane apanii har saa.Ns par naam teraa likh diyaa
ik tujhe paane kii khaatir khud ko paagal kar diyaa
ishq me.n tum bhii sanam had se guzar kar dekh lo
tumase kitanaa \threedots

jaane kyuu.N saare jahaa.N se ho ga_e hai.n bekhabar
jabase tum aa.Nkho.n me.n aa_e jaagatii hai ye nazar
apanii raato.n se merii raate.n badal kar dekh lo
tumase kitanaa \threedots
%",,,,,,
78,12089,is dil me.n kyaa hai dha.Dakan,,Jab Pyaar Kisi Se Hotaa Hai,1998,Anand Bakshi,Jatin Lalit,"Lata, Kumar Sanu",,"Salman, Twinkle, Namrata Shirodkar, Johny Lever, Farida, Saeed",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
is dil me.n kyaa hai dha.Dakan dha.Dakan me.n kyaa hai saajan
phuulo.n me.n kyaa hai khushbuu aa.Nkho.n me.n kyaa hai jaaduu
tuu merii jaa.n hai tuu hii meraa pyaar tere li_e hii mai.n huu.N bekaraar
is dil me.n kyaa hai \threedots

chhuu liyaa tuune mujhako saaraa badan jal rahaa hai
pyaar me.n zor kaisaa ko_ii jaaduu saa bas chal rahaa hai
paagal naa mai.n ho jaa_uu.n
is dil me.n kyaa hai \threedots

thaam le merii baahe.n mausam javaa.n hai hasii.n hai
kyaa karuu.n naam teraa dil bhuulataa hii nahii.n hai
jaaguu.n yaa mai.n so jaa_uu.n
is dil me.n kyaa hai \threedots
%",,,,,,
79,13583,bichha.De hu_e mile.nge phir qismat ne gar milaa diyaa,,Post Box 999,1958,P L Santoshi,Kalyanji Anandji,"Rafi, Asha",,"Sunil Dutt, Shakeela, Poornima",,BOL ANAMOL #10849 [V S Rawat],2024-12-06T23:25:26.470358+00:00,"%
ra \:	bichha.De hu_e mile.nge phir \-2
	qismat ne gar milaa diyaa \-2
aa \:	usakaa Kudaa bhalaa kare \-2
	jisane hame.n judaa kiyaa \-2
ra \:	bichha.De hu_e mile.nge \threedots

aa \:	jab yaad merii sataa_egii aur nii.nd na tumako aa_egii
	phir karavaT badal\-badal ke tuu
	haay dil ko masal\-masal ke tuu
	kahegaa kyaa
ra \:	kyaa
do \:	bichha.De hu_e mile.nge \threedots

aa \:	jab phir se bahaar aa_egii
	aur Kushiyaa.N hazaar laa_egii
	to apanaa kalejaa thaam ke
	dhiire se meraa naam le
	kahegaa kyaa
aa \:	kyaa
do \:	bichha.De hu_e mile.nge \threedots

aa \:	jab kaarii badariyaa chhaa_egii
	ulfat merii laharaa_egii
	to mastii me.n apanii jhuum ke
	zaKm\-e\-jigar ko chuum ke
	kahegaa kyaa
aa \:	kyaa
do \:	bichha.De hu_e mile.nge \threedots
%",,,,,,
80,12910,sadiyo.n kaa hai silasilaa pahachaan ye puraanii hai ... miit mere man ke,,Meet Mere Man Ke,1991,Ravindra Rawal,Babul Bose,"Anuradha Paudwal, Mohammed Aziz",,"Firoz Khan, Salama Agha, Prasanjeet, Ayesha Jhulka, Puneet Issar",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
sadiyo.n kaa hai silasilaa pahachaan ye puraanii hai
duniyaa ke gulashan me.n aa ke bahaar ban ke
miit mere man ke

ta.Dapaayaa milane se pahale hame.n mil ke bhii tarasaayaa tumane sanam
paa.nv me.n za.njiir thii sharm kii chaah ke bhii magar ba.Dh sake na kadam
ab na rahii vo duurii khatm hu_ii majabuurii mil hii gaye aaj ham
duniyaa me.n giit mere man ke

saaye me.n jis ke mile tumase ham aisii hii barasaat kii shaam thii
motii kii jo buu.nd tan pe pa.Dii laa_ii khushii kaa paigaam thii
mastaane mausam kii pyaar bharii vo chiTThii diivaane ke naam thii
duniyaa ke gulashan me.n \threedots

shaakho.n pe jaise naye gul khile ham bhii naye ruup me.n yuu.n mile
khushbuu na badalii kabhii pyaar kii banate rahe pyaar ke silasile
ulfat kii raaho.n me.n ma.nzil kii chaaho.n me.n ba.Dhate rahe qaafile
duniyaa ke gulashan me.n \threedots
%",,,,,,
81,2951,sapano.n me.n aanaa chhe.D chhe.D jaanaa,,Shisham,1952,Indeevar,Roshan,"Lata, Mukesh",,"Nutan, Nasir, Kuldeep, Gope",,K Vijay Kumar,2024-12-06T23:25:26.470358+00:00,"%

sapano.n me.n aanaa chhe.D chhe.D jaanaa
siikhaa kahaa.N se mere balam ne
hai ik navelii naar alabelii
ha.Ns ke luTaayaa dil jis pe ham ne

Dol gayii duniyaa merii
terii nazar jo jhukii \-2
aaj huii tujh ko khabar
mai.n to (kab se terii ho chukii) \-2
rah kar nazar me.n
aa.Nkho.n ke ghar me.n
ye bhii na jaanaa bhole priitam ne
sapano.n me.n aanaa \threedots

jiit liyaa ham ne jahaa.N
tuu jo hamaaraa huaa \-2
dekh liyaa jab se tujhe
jiinaa gavaaraa huaa \-2
jo kuchh thaa meraa
aaj huaa teraa
kismat badal lii aapas me.n ham ne
sapano.n me.n aanaa \threedots

matavaalii terii adaa
man ko mere bhaa gayii \-2
nazaro.n se nazare.n milii
nii.nd aa.Nkho.n me.n aa gayii \-2
cha.nchal mastaanii
chau.nkii javaanii
kuchh is tarah se dekhaa sanam ne

jo kuchh thaa meraa aaj huaa teraa
kismat badal lii aapas me.n ham ne

%",,,,,,
82,672,"ham chal rahe the, vo chal rahe the, magar duniyaavaalo.n ke dil",,Duniya Na Maane,1959,Rajinder Krishan,Madan Mohan,"Lata, Mukesh",,"Pradeep Kumar, Mala Sinha",,Ravi Kant Rai,2024-12-06T23:25:26.470358+00:00,"%
ham chal rahe the, vo chal rahe the
magar duniyaavaalo.n ke dil jal rahe the
ham chal rahe the, vo chal rahe the
magar duniyaavaalo.n ke dil jal rahe the
ham chal rahe the

vohii hai phizaaye.n vohii hai havaaye.n
magar pyaar ki ab nahii vo adaaye.n
vohii hai phizaaye.n vohii haihavaaye.n
magar pyaar ki ab nahi vo adaaye.n
bulaaye.n ham unako, magar vo na aaye.n
ham chal rahe the, vo chal rahe the
magar duniyaavaalo.n ke dil jal rahe the
ham chal rahe the

unhe.n bhulakar bhii, bhulaa naa sakU.ngaa
jo dil me.n lagii hai bujhaa naa sakU.ngaa
unhe.n bhulakar bhii, bhulaa naa sakU.ngaa
jo dil me.n lagii hai bujhaa naa sakU.ngaa
mai.n sapano.n kii duniyaa sajaa naa sakU.ngaa
ham chal rahe the, vo chal rahe the
magar duniyaavaalo.n ke dil jal rahe the
ham chal rahe the
%",,,,,,
83,rmim0365,meraa aaGaaz shirii.N hai.n ... Kushiyo.n ko luuT kar yahaa.N,,Shirin Farhaad,1956,Tanveer Naqvi,S Mohinder,"Hemant, Asha",,"Pradip Kumar, Madhubala",,Prithviraj Dasgupta,2024-12-06T23:25:26.470358+00:00,"%
he: meraa aaGaaz shirii.N hai.n
meraa a.njaam shirii.N hai.n
mujhe farahaad kyo.n kahate ho
meraa naam shirii.N hai.n

(khushiyo.n ko luuT kar yahaa.N) \-2
dete hai.n Gam nishaaniyaa.N
kab tak rahe.ngii pyaar par
duniyaa kii maharbaaniyaa.N
khushiyo.n ko luuT kar yahaa.N

(raahe.n wafaa me luT gaye
kitane dilo.n ke kaafile) \-2
ma.nzil pe aake aur bhii
ba.Date rahe.n hai faasale
(barabaad ho ke rah gayii) \- 2
aramaa.N bharii javaaniyaa.N
kab tak rahe.ngii pyaar par
duniyaa kii maharbaaniyaa.N
khushiyo.n ko luuT kar yahaa.N

aa: (kitanii hii zi.ndagaaniyaa.N
rismo.n pe ho gayii fidaa) \-2
do dil mile the pyaar se
duniyaa ne kar diye judaa
hote rahe yuu.N hii sitam
banatii rahii kahaaniyaa.N
kab tak rahe.ngii pyaar par
duniyaa kii maharbaaniyaa.N
khushiyo.n ko luuT kar yahaa.N

he: jitane khushii ke Kvaab the
sab aa.Nsuuo.n me Dhal gaye
gulashan me rah gayaa hai kya
(tinake the chaar jal gaye) \- 2
(thaa meraa aashiiaa.N kahaa.N) \- 2
milatii nahii.n nishaaniyaa.N
kab tak rahe.ngii pyaar par
duniyaa kii maharbaaniyaa.N
khushiyo.n ko luuT kar yahaa.N

aa: aavaaz de merii Kudaa
inasaaf hai kahaa.N teraa
jal jayegaa jahaa.N teraa
(miT jayegaa nishaa.N teraa) \- 2
(fariyaad ban gayii agar) \- 2
ulafat kii bezubaaniyaa.N
kab tak rahe.ngii pyaar par
duniyaa kii maharbaaniyaa.N
khushiyo.n ko luut kar yahaa.N
%",,,,,,
84,12878,ye hai ##chemistry## pyaar kii ... dil ke ##test tube## me.n,,Muqaddar,1996,Sameer,Anand Milind,"Shankar Mahadevan, Parvez, Gayatri Iyer",,"Mithun, Ayesha, Rohit Kumar, Moushumi, Kiran Kumar, Simran",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
##History. No. Geography. It's boring. Chemistry. Yes.##
ke ke ke ke ##chemistry##
ye hai ##chemistry## pyaar kii
dil ke ##test tube## me.n pyaar kaa ##oxygen## Daalo
kyaa hai zaruurat chaay kii kyaa hai zaruurat yaar kii

##fix## kisii se ##date## karo ##laboratory## me.n ##wait## karo
tumane sunaa maine kyaa bolaa ye hai milan kaa ##formula##
aa_o kare.n ham ##practical##
chal kahii.n mere saath chal
ye kaisaa ##oxide## hai ##love## kaa ye ##hydride## hai
ye hai ##chemistry##
dil ke ##test tube## me.n \threedots

##Come on everybody. Let's do the lab rap.##
##CaCO3 H2SO4 Potasium Cyanide and H2O##
##hey everybody! this is a lab rap.##
##No physics, no biology, just## ke ke ke ke ##chemistry##
ye hai.n kaise bulabule chaahat ke hai.n silasile
tuu ##sulphate## me.n ##nitrogen## ho jaa_e na ##explosion##
##acid## hai duniyaa saarii jal na jaa_e ulfat pyaarii
kaisaa ##experiment## hai ishq to ##permanent## hai
ye hai ##chemistry##
dil ke ##test tube## me.n \threedots
%",,,,,,
85,2839,ghir ghir aayii kaarii badariyaa,,Shagoofa,1953,Rajinder Krishan,C Ramchandra,Lata,,"Bina Rai, Premnath",,Anil Hingorani,2024-12-06T23:25:26.470358+00:00,"%

ghir ghir aayii kaarii badariyaa
der lagayii, merii yaad na aayii
ghar aajaa aajaa~
ghar aajaa saa.nwariiyaa

darash binaa merii a.nkhiiyaa.n pyaasii
niis din baaT Take terii daasii
chhaayii hai udaasii pyaas bujhaa jaa aajaa /-2
tohe dhuu.nde nazariiyaa aajaa
ghar aajaa saa.nwariiyaa
ghir ghir aayii  /threedots

biitat naahii.n din jiiyaa nahii.n laage
a.nkhiiyo.n se nindiiya duur duur bhaage
bintii karun main darsh dikhaa jaa aajaa /-2
le le merii khabariiyaa aajaa aajaa~~~
ghar aajaa saa.nwariiyaa
ghir ghir aayii  /threedots

%",,,,,,
86,10781,tere pyaar me.n ... mai.n ishqan ishqan ho ga_ii,,Chor Machaaye Shor,2002,Tejpal Kaur,Annu Malik,"Adnan Sami, Sunidhi Chauhan",,"Bobby Deol, Shilpa Shetty, Bipasa Basu, Shekhar Suman, Om Puri, Paresh Raval",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
ishqan ishqan ishqan ishqan
tere pyaar me.n hoke raa.njhaNaa mai.n ishqan ho ga_ii
mai.n ishqan ishqan ho ga_ii
tere pyaar me.n khoke raa.njhaNaa
tere pyaar me.n khoke mai.n ishqan ishqan ho ga_ii

mai.n ishqan ishqan ho gayaa
tere pyaar me.n hoke hiiriye
tere pyaar me.n hoke mai.n ishqan ishqan ho gayaa
mai.n ishqan ishqan \threedots

o meraa maathaa Tha.nDaa achchhaa
aur nabz hai Dhiilii o ho
o merii jaan ye jaa_e paka.Do
aur saa.Ns naa aa_e mar ga_e
khulii havaa ho khet javaa.n ho
chalataa samaa.n ho o ho ho
cha.Dhate savere saath tuu mere cha.Dho chubere o ho ho
diivaanaa diivaanaa teraa diivaanaa diivaanaa mai.n ho gayaa
mai.n ta.Dapan ta.Dapan ho ga_ii
tere pyaar me.n \threedots

o mere kaul tuu aajaa sadake
baaho.n me.n samaa jaa rab jii
o_e siine se lagaa le kyaa jii
ye labo.n ke pyaale naa jii
niiche tan kaa kamale man kaa ek milan ho o ho ho
sonii sajan kaa chuu.Dii ka.ngan kaa chham se milan ho o ho ho
diivaanii diivaanii terii ho ga_ii
mai.n dha.Dakan dha.Dakan ho gayaa
tere pyaar me.n \threedots
%",,,,,,
87,20963,lukaa-chhupii bahut huii,,Rang De Basanti,2006,Prasoon Joshi,A R Rahman,"Lata, A R Rahman",,"Waheeda Rahman, Madhavan, Soha Ali Khan, Aamir",,Vinay P Jain,2024-12-06T23:25:26.470358+00:00,"%
lataa:
lukaa\-chhupii bahut huii
saamane aajaa naa
kahaa.N\-kahaa.N Dhuu.NDhaa tujhe
thak gaI hai ab terii maa.N
aajaa saa.Njh huii mujhe terii fikar
dhu.Ndhalaa gaI dekh merii nazar
aajaa naa

rahamaan:
kyaa bataauu.N maa.N kahaa.N huu.N mai.n
yahaa.N u.Dane ko mere khulaa aasamaa.N hai
tere qisso.n jaisaa bholaa 
salonaa jahaa.N hai yahaa.N sapano.n waalaa
merii pata.ng ho befikar u.D rahii hai maa.N
Dor koii luuTe nahii.n biich se kaaTe naa

lataa:
terii raah take.n a.Nkhiyaa.N
jaane kaisaa\-kaisaa hoye jiyaa
dhiire\-dhiire aakar utare a.Ndheraa 
teraa diip kahaa.N
Dhal ke suuraj kare ishaaraa
chandaa tuu hai kahaa.N
mere chandaa tuu hai kahaa.N

rahamaan:
kaise tujhako dikhaa_uu.N yahaa.N hai kyaa
mai.nne jharane se paanii maa.N to.D ke piyaa hai
guchchhaa\-guchchhaa ka_ii Kwaabo.n kaa
uchhal ke chhuaa hai
chhaayaa lie bhalii dhuup yahaa.N hai
nayaa\-nayaa saa hai ruup yahaa.N
yahaa.N sab kuchh hai maa.N phir bhii
lage bin tere mujhako akelaa
%",,,,,,
88,662,hai priit jahaa.N kii riit sadaa,,Poorab Aur Paschim,1970,Indeevar,Kalyanji-Anandji,Mahendra Kapoor,,"Manoj Kumar, Saira Banu",,Himanshu Bhatt,2024-12-06T23:25:26.470358+00:00,"%
jab ziiro diyaa mere bhaarat ne 
bhaarat ne mere bhaarat ne 
duniyaa ko tab ginatii aayii 
taaro.n kii bhaashhaa bhaarat ne 
duniyaa ko pahale sikhalaayii 

detaa nA dashamalav bhaarat to 
yuu.N chaa.Nd pe jaanaa mushkil thaa
dharatii aur chaa.Nd kii duurii kaa
a.ndaaz lagaanaa mushkil thaa

sabhyataa jahaa.N pahale aayii
pahale janamii hai jahaa.N pe kalaa 
apanaa bhaarat jo bhaarat hai 
jisake piichhe sa.nsaar chalaa
sa.nsaar chalaa aur aage ba.Dhaa
jyuu.N aage ba.Dhaa, ba.DhatA hii gayaa 
bhagavaan kare ye aur ba.Dhe 
ba.Dhataa hii rahe aur phuule\-phale 

%< madan puri (in his very unusal role) 
madanapurI: chup kyo.n ho gaye? aur sunaao

hai priit jahaa.N kii riit sadaa 
mai.n giit vahaa.N ke gaataa huu.N
bhaarat kaa rahane vaalaa huu.N 
bhaarat kii baat sunaataa huu.N 

kaale\-gore kA bhed nahii.n 
har dil se hamaaraa naataa hai 
kuchh aur na aataa ho hamako 
hame.n pyaar nibhaanaa aataa hai 
jise maan chukii saarii duniyaa 
mai.n baat vohii doharaataa huu.N 
bhaarat kaa rahane vaalaa huu.N 
bhaarat kii baat sunaataa huu.N 

jiite ho kisiine desh to kyaa
hamane to dilo.n ko jiitaa hai 
jahaa.N raam abhii tak hai nar me.n 
naarii me.n abhii tak siitaa hai 
itane paavan hai.n log jahaa.N 
mai.n nit\-nit shiish jhukaataa huu.N 
bhaarat kaa rahane vaalaa huu.N 
bhaarat kii baat sunaataa huu.N 

itanii mamataa nadiyo.n ko bhii 
jahaa.N maataa kahake bulaate hai 
itanaa aadar insaan to kyaa
patthar bhii puuje jaate.n hai 
is dharatii pe mai.nne janam liyaa 
ye soch ke mai.n itaraataa huu.N 
bhaarat kaa rahane vaalaa huu.N 
bhaarat kii baat sunaataa huu.N 
%",,,,,,
89,2941,raat piyaa ke sa.ng jaagii re sakhii,,Prem Parbat,1973,Jaan Nisar Akhtar,Jaidev,Minoo Purshottam,,Rehana Sultan,,Surajit A. Bose,2024-12-06T23:25:26.470358+00:00,"%

raat piyaa ke sa.ng jaagii rii sakhii
raat piyaa ke sa.ng jaagii rii sakhii
chain pa.Daa jo a.ng laagii rii sakhii
raat piyaa ke sa.ng \threedots

sai.nyaa.Njii ne jaaduu pheraa!
sai.nyaa.Njii ne jaaduu pheraa, baaho.n kaa Daalaa gheraa
karake zaraa andheraa, a.Ncharaa jo khai.nchaa meraa
god piyaa kii ta.ng laagii rii sakhii
god piyaa kii ta.ng laagii rii sakhii
chain pa.Daa jo a.ng laagii rii sakhii
raat piyaa ke sa.ng \threedots

sai.nyaa.Njii ne Daakaa Daalaa!
sai.nyaa.Njii ne Daakaa Daalaa, ulajhaa laTo.n me.n baalaa
bikharii gale kii maalaa, ah! bha.Dakii badan kii jwaalaa
devadhanuSh ra.ng laagii rii sakhii
devadhanuSh ra.ng laagii rii sakhii
chain pa.Daa jo a.ng laagii rii sakhii
raat piyaa ke sa.ng \threedots

gajaraa suhaanaa TuuTaa!
gajaraa suhaanaa TuuTaa, kajaraa nayan kaa chhuuTaa
sab tan bhayaa re jhuuTaa, jitanaa sataayaa luuTaa
aur bhii baa.Nke a.ng laagii rii sakhii
aur bhii baa.Nke a.ng laagii rii sakhii
tan kii chhupii tara.ng jaagii rii sakhii
tan kii chhupii tara.ng jaagii rii sakhii
chain pa.Daa jo a.ng laagii rii sakhii
raat piyaa ke sa.ng \threedots
%",,,,,,
90,12900,aa jaa_o aa jaa_o naagaraajaa tum aa jaa_o,,Maqsad,1984,Indivar,Bappi Lahiri,Kishor,,"Rajesh Khanna, Jayaprada, Jeetndra,Sridevi, Shakti Kapoor, Ranjeet",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
aa jaa_o aa jaa_o naagaraajaa tum aa jaa_o \-2
hazaaro.n phan phu.Nphakaare.n aa_o bharate hu.nkaare.n
ka.nTh sha.nkar kaa chho.Do re
aaj viShNu ko jagaa do gagan paataal hilaa do
aaj pralay machaa do re
aa jaa_o aa jaa_o naagaraajaa \threedots

kaalaruup vikaraal ruup bhuuchaal machaate aa_o
taxak ho tum raxak ho tum axak ban ke dikhaa_o \-2
zahar se zahar maregaa naa paapii ko_ii bachegaa
karegaa so bharegaa re
bano tum viSh kii jvaalaa ho durjan kaa mu.Nh kaalaa
sajjan kaa raxak karo re
aa jaa_o aa jaa_o naagaraajaa \threedots

tum anaath Dole dig digant har saa.Ns me.n ik tuufaa.N hai
tum bhuja.ng chale maut sa.ng tum jahaa.n ho jiit vahaa.N hai
farebii dR^iShTi darinde ba.Dhaakar apane pa.nje
hamako nigalane kha.De
saty kii jiit karaa do dharam kaa diip jalaa do
dharatii kaa bojh haTaa do
aa jaa_o aa jaa_o naagaraajaa \threedots
%",,,,,,
91,rmim0375,aake siidhii lagii dil pe jaise kaTariyaa o saa.nwariyaa oy,,Half Ticket,1962,Shailendra,Salil Chowdhury,Kishore,,"Kishore Kumar, Madhubala",,Sam Malhotra,2024-12-06T23:25:26.470358+00:00,"%
##Both Male and Female Voices are by Kishore Kumar##

##Female##:  aake siidhii lagii dil pe jaise kaTariyaa o saa.nwariyaa oy
                       aake siidhii lagii dil pe jaise kaTariyaa o
saa.nwariyaa oy hoy
                       o terii tirachhii najariyaa.a
##Male##:      le gayii meraa dil terii julmii najariyaa o gujariyaa oy
                       le gayii meraa dil terii julmii najariyaa o gujariyaa
oy hoy hoy
                       o jaane saarii nagariyaa
##Female##:   aake siidhii lagii dil pe jaise kaTariyaa o saa.nwariyaa

##Female##:    merii galii aate ho kyuu.n baar baar
                       chhe.D chhe.D jaate ho kyuu.n dil ke taar
                       o saiyaa.n o saiyaa.n o saiyaa.n paDu.n tore paiyaa.n
                       merii galii aate ho kyuu.n baar baar
                       chhe.D chhe.D jaate ho kyuu.n dil ke taar
##Male##:       kyaa mai.n karuu.n gorii mujhe tujhase hai pyaar
                       jo naa tujhe dekhu.n naa aaye qaraar
                       o gorii o gorii o gorii ba.D ke bu.Dhan Tiir vii
Takkar
                       kyaa mai.n karuu.n gorii mujhe tujhase hai pyaar
                       jo naa tujhe dekhu.n naa aaye qaraar
##Female##:   haTo jaao naa banaao
                       haTo jaao haay haay naa banaao haay haay haay
                       naTakhaT ra.ngiile sa.nwariyaa
                       aake siidhii lagii dil pe jaise kaTariyaa o
saa.nwariyaa haay haay
##Male##:      le gayii meraa dil terii julmii najariyaa o gujariyaa

##Female##:  piichhe piichhe aate ho kyuu.n dil ke chor
                      maan jaao varnaa machaa duu.ngii shor
                      bachaao o mu.nai o murge o kauve
                     piichhe pichhe aate ho kyuu.n dil ke chor
                      maan jaao varnaa machaa duu.ngii shor
##Male##:      pahale to baa.ndhii nigaaho.n ki Dor
                      ab hamase kahtii ho chal piichhaa chho.D
                       o gorii o naTakhaT o khaTapaT o panaghaT o jhaTapaT
                       pahale to baa.ndhii nigaaho.n ki Dor
                       ab hamase kahtii ho chal piichhaa chho.D
##Female##:  tore nai.nnaa o miiThe bai.nnaa
                      o tore nai.nnaa haay haay miiThe bai.nnaa oy hoy
                      mujhako banaa gaye baa.nwariyaa
                      aake siidhii lagii dil pe jaise kaTariyaa o
saa.nwariyaa oy hoy
                      o terii tirachhii najariyaa.a
##Male##:      le gayii meraa dil terii julmii najariyaa o gujariyaa oy hoy
                       o jaane saarii nagariyaa
##Female##:  aake siidhii lagii dil pe jaise kaTariyaa o saa.nwariyaa
(##Male##:     o gujariyaa
##Female##:  o saa.nwariyaa) \-2
%",,,,,,
92,12099,mujhe ek pal chain na aa_e o sajanaa tere binaa,,Judaai,1997,Sameer,Nadeem Shravan,"Alka Yagnik, Jaspindar Narula",,"Anil Kapoor, Sridevi, Urmila Matondkar",,V S Rawat,2024-12-06T23:25:26.470358+00:00,"%
mujhe ek pal chain na aa_e o sajanaa tere binaa

a.nkhiyaa.n milaake tuu na jaane ki hai kaisii baat
haath kii meha.ndii mahake maahii ab to saarii raat
tuu merii jaan hai tuu meraa dharam tuu hai merii zi.ndagaanii
mil ke likhuu.ngaa saath mai.n tere is jiivan kii kahaanii
judaa_ii judaa_ii o rabbaa aa_e na judaa_ii
har mo.D pe jii ghabaraa_e sajanaa tere binaa
mere dil ko kuchh nahii.n bhaa_e sajanaa tere binaa
mujhe ek pal chain \threedots

naa pahanuu.n mai.n jhuumar ka.nganaa na cha.ndan kaa haar
tere pyaar ke gahano.n se mai.n kar luu.n sau shrR^i.ngaar
tan man dono.n ko pighalaa_e in saa.Nso.n kii garmii
phuulo.n se bhii naram hai jaanam in ho.nTho.n kii narmii
judaa_ii judaa_ii kabhii aa_e na judaa_ii
merii pyaas ko kaun bujhaa_e sajanaa tere binaa
mere dil ko kuchh nahii.n bhaa_e sajanaa tere binaa
mujhe ek pal chain \threedots
%",,,,,,
